awayTeamName,homeTeamName,awayScore,homeScore,awayOdds,homeOdds,Betmakers,Date
Chicago Bulls,Boston Celtics,100,105,138,-161,16,12/9/2015
Miami Heat,Charlotte Hornets,81,99,-112,-103,16,12/9/2015
Houston Rockets,Washington Wizards,109,103,149,-172,16,12/9/2015
Portland Trail Blazers,Cleveland Cavaliers,100,105,400,-500,15,12/8/2015
Golden State Warriors,Indiana Pacers,131,123,-227,197,15,12/8/2015
Detroit Pistons,Charlotte Hornets,84,104,121,-139,15,12/7/2015
San Antonio Spurs,Philadelphia 76ers,119,68,-588,457,15,12/7/2015
Sacramento Kings,Oklahoma City Thunder,95,98,606,-833,15,12/6/2015
Brooklyn Nets,New York Knicks,91,108,139,-159,16,12/4/2015
Phoenix Suns,Washington Wizards,106,109,-137,119,16,12/4/2015
Oklahoma City Thunder,Miami Heat,95,97,-192,164,16,12/3/2015
Golden State Warriors,Charlotte Hornets,116,99,-455,365,16,12/2/2015
Los Angeles Lakers,Washington Wizards,108,104,449,-588,16,12/2/2015
Washington Wizards,Cleveland Cavaliers,97,85,375,-476,16,12/1/2015
Los Angeles Lakers,Philadelphia 76ers,91,103,104,-120,16,12/1/2015
Toronto Raptors,Washington Wizards,84,82,-167,145,16,11/28/2015
Cleveland Cavaliers,Charlotte Hornets,95,90,-189,162,16,11/27/2015
Milwaukee Bucks,Orlando Magic,90,114,143,-164,16,11/27/2015
Washington Wizards,Charlotte Hornets,87,101,143,-167,16,11/25/2015
New York Knicks,Orlando Magic,91,100,102,-120,16,11/25/2015
Indiana Pacers,Washington Wizards,123,106,125,-145,16,11/24/2015
Sacramento Kings,Charlotte Hornets,122ÿ,127,143,-167,16,11/23/2015
Orlando Magic,Cleveland Cavaliers,103,117,334,-417,16,11/23/2015
Dallas Mavericks,Oklahoma City Thunder,114,117,137,-159,16,11/22/2015
Milwaukee Bucks,Indiana Pacers,86,123,175,-208,16,11/21/2015
Philadelphia 76ers,Charlotte Hornets,88,113,524,-714,16,11/20/2015
Brooklyn Nets,Charlotte Hornets,111,116,221,-263,16,11/18/2015
Minnesota Timberwolves,Orlando Magic,101ÿ,104,172,-204,16,11/18/2015
Indiana Pacers,Philadelphia 76ers,112,85,-278,234,16,11/18/2015
Milwaukee Bucks,Washington Wizards,86,115,138,-159,16,11/17/2015
Dallas Mavericks,Philadelphia 76ers,92,86,-400,329,16,11/16/2015
Boston Celtics,Oklahoma City Thunder,100,85,185,-217,16,11/15/2015
Orlando Magic,Washington Wizards,99,108,191,-227,16,11/14/2015
Minnesota Timberwolves,Indiana Pacers,103,107,276,-333,16,11/13/2015
Utah Jazz,Orlando Magic,93,102,-115,100,16,11/13/2015
New York Knicks,Charlotte Hornets,93,95,219,-263,16,11/11/2015
